DateTime,Entries,UniqueIPs
1506536244,3961,3961
1506537144,3959,3959
1506539847,3961,3961
1506543447,3964,3964
1506544346,3963,3963
1506547039,3964,3964
1506550642,3965,3965
1506554237,3967,3967
1506557844,3969,3969
1506561442,3975,3975
1506565047,3972,3972
1506572267,3971,3971
1506579446,3970,3970
1506583044,3971,3971
1506586652,3975,3975
1506590246,3976,3976
1506592975,3977,3977
1506593842,3979,3979
1506601047,3977,3977
1506604650,3978,3978
1506608251,3976,3976
1506611839,3977,3977
1506615440,3977,3977
1506616346,3976,3976
1506619046,3978,3978
1506620852,3977,3977
1506621776,3978,3978
1506622643,3978,3978
1506626250,3977,3977
1506629842,3972,3972
1506633445,3973,3973
1506637044,3970,3970
1506640644,3971,3971
1506644250,3976,3976
1506647844,3977,3977
1506651446,3976,3976
1506655042,3976,3976
1506658671,3977,3977
1506662248,3976,3976
1506664051,3974,3974
1506665843,3975,3975
1506673042,3982,3982
1506680246,3981,3981
1506684745,3982,3982
1506687451,3982,3982
1506688344,3983,3983
1506691039,3984,3984
1506694643,3981,3981
1506698242,3982,3982
1506701848,3987,3987
1506705442,3988,3988
1506707245,3989,3989
1506709048,3988,3988
1506716252,3994,3994
1506723449,3996,3996
1506727052,3997,3997
1506730640,3998,3998
1506734246,3997,3997
1506737843,3994,3994
1506745077,3991,3991
1506748646,3992,3992
1506752247,3993,3993
1506759456,3993,3993
1506763052,3994,3994
1506766642,3993,3993
1506770243,3992,3992
1506773857,3989,3989
1506780180,3988,3988
1506781051,3990,3990
1506782852,3989,3989
1506783779,3988,3988
1506784649,3988,3988
1506785542,3986,3986
1506786451,3982,3982
1506787383,3981,3981
1506788250,3980,3980
1506789152,3978,3978
1506790982,3975,3975
1506795447,3976,3976
1506799052,3977,3977
1506800853,3975,3975
1506802649,3976,3976
1506803547,3975,3975
1506805376,3972,3972
1506806243,3971,3971
1506807143,3970,3970
1506808977,3969,3969
1506809853,3967,3967
1506810751,3966,3966
1506811645,3965,3965
1506813449,3966,3966
1506814346,3965,3965
1506817042,3967,3967
1506818851,3966,3966
1506819785,3965,3965
1506820654,3963,3963
1506821550,3961,3961
1506822445,3960,3960
1506824242,3965,3965
1506826978,3963,3963
1506827851,3961,3961
1506829647,3960,3960
1506831470,3961,3961
1506832352,3959,3959
1506835048,3960,3960
1506835942,3959,3959
1506836845,3960,3960
1506837782,3958,3958
1506838647,3962,3962
1506839553,3961,3961
1506840448,3960,3960
1506841375,3958,3958
1506842243,3957,3957
1506843144,3956,3956
1506844054,3955,3955
1506844975,3952,3952
1506845847,3949,3949
1506847648,3947,3947
1506849446,3946,3946
1506850346,3943,3943
1506851247,3941,3941
1506853048,3939,3939
1506860251,3942,3942
1506865652,3943,3943
1506867448,3941,3941
1506871053,3943,3943
1506874644,3941,3941
1506879145,3931,3931
1506881842,3930,3930
1506889043,3926,3926
1506890849,3927,3927
1506892647,3928,3928
1506896241,3929,3929
1506903439,3929,3929
1506910647,3929,3929
1506917870,3927,3927
1506921445,3928,3928
